Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
10-24-11,HDFC,EQ,633.4,644,648,634.35,640.3,640.5,641.91,3512753,2.25E+14,79444,2704150,0.7698
10-25-11,HDFC,EQ,640.5,645.8,674.7,633,668.9,669.2,653.12,4630436,3.02E+14,71601,2853769,0.6163
10-26-11,HDFC,EQ,669.2,665.9,673.8,662.3,669,667.2,667.55,385943,2.58E+13,6589,186734,0.4838
10-28-11,HDFC,EQ,667.2,685,699.5,681,687.55,688.7,686.66,2589264,1.78E+14,38294,1962510,0.7579
10-31-11,HDFC,EQ,688.7,689,695.05,678.1,688.4,688.85,684.96,2342728,1.60E+14,32358,1803811,0.77
11-01-11,HDFC,EQ,688.85,683,686.7,679.5,682.7,684.35,683.31,1697276,1.16E+14,43485,1221827,0.7199
11-02-11,HDFC,EQ,684.35,680,689,679.2,681.5,682.7,684.02,1040371,7.12E+13,28719,579272,0.5568
11-03-11,HDFC,EQ,682.7,678,687,674.3,687,683.45,679.02,1454860,9.88E+13,34356,962778,0.6618
11-04-11,HDFC,EQ,683.45,688.5,689.75,678.25,684,683.9,684.13,1650719,1.13E+14,36527,1119906,0.6784
11-08-11,HDFC,EQ,683.9,683,690.3,675.05,678.35,679.85,680.16,832846,5.66E+13,38715,444500,0.5337
11-09-11,HDFC,EQ,679.85,681.25,687,679.15,681.7,682.4,683.84,2656856,1.82E+14,51491,1945485,0.7323
11-11-11,HDFC,EQ,682.4,680,680,663.65,666.55,666.7,670.64,2097116,1.41E+14,50888,1455830,0.6942
11-14-11,HDFC,EQ,666.7,671,676.7,666.15,674.5,672.75,672.74,2475463,1.67E+14,31815,1912663,0.7726
11-15-11,HDFC,EQ,672.75,670.5,673.7,654,654.6,657.55,664.47,1306443,8.68E+13,43103,832837,0.6375
11-16-11,HDFC,EQ,657.55,657.8,657.8,626.25,654.05,645.4,642.55,2229348,1.43E+14,61727,1273887,0.5714
11-17-11,HDFC,EQ,645.4,648.95,651.8,631.4,637,635.05,639.39,1623008,1.04E+14,35253,1007441,0.6207
11-18-11,HDFC,EQ,635.05,630.1,648,630.1,646.35,645.6,638.82,2470305,1.58E+14,45038,1730136,0.7004
11-21-11,HDFC,EQ,645.6,639,643.9,618.1,619.75,623.35,630.5,1752373,1.10E+14,37518,1091948,0.6231
11-22-11,HDFC,EQ,623.35,625.6,645.9,625.6,637.85,637.95,638.52,2002760,1.28E+14,44454,1368398,0.6833
11-23-11,HDFC,EQ,637.95,636.6,639.3,613.2,620,624.15,624.44,2742574,1.71E+14,41767,1948794,0.7106
